Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Urophycis_tenuis	0	9.104046243	0	1.004495325
Urophycis_chuss	0	9.156976744	0	1.006764458
Merluccius_bilinearis	0	9.264705882	0	1.01134651
Melanogrammus_aeglefinus	0	9.722222222	0	1.030284804
Pollachius_virens	0	9.943181818	0	1.039143615
Urophycis_tenuis	0	10	0	1.041392685
Squalus_acanthias	251	10.11560694	2.401400541	1.045933181
Urophycis_tenuis	52315	10.29411765	4.718634531	1.052852307
Lumpenus_lampretaeformis	7454	10.9375	3.872447648	1.076913385
Centroscyllium_fabricii	790	11.06321839	2.898176483	1.08146319
Melanogrammus_aeglefinus	0	11.19186047	0	1.086069984
Urophycis_chuss	5	11.19186047	0.77815125	1.086069984
Merluccius_bilinearis	5931	11.32352941	3.773201142	1.090735106
Sebastes	6616	12	3.820661135	1.113943352
Merluccius_bilinearis	0	12.06896552	0	1.116241212
Squalus_acanthias	0	12.06896552	0	1.116241212
Urophycis_tenuis	0	12.28070175	0	1.123221024
Scomber_scombrus	49373	12.28070175	4.693498313	1.123221024
Urophycis_chuss	0	12.35294118	0	1.125576936
Urophycis_chuss	0	12.63888889	0	1.134778991
Myoxocephalus_octodecemspinosus	2859	12.72727273	3.456366033	1.137584262
Leucoraja_erinacea	14603	12.78089888	4.164471824	1.139277546
Clupea_harengus	4436	12.92613636	3.647089429	1.143830643
Melanogrammus_aeglefinus	0	13.07471264	0	1.148439537
Clupea_harengus	0	13.15028902	0	1.15076531
Urophycis_tenuis	0	13.22674419	0	1.153105523
Merluccius_bilinearis	3	13.27586207	0.602059991	1.154602343
Argentina_silus	0	13.61111111	0	1.164683243
Urophycis_chuss	0	13.61111111	0	1.164683243
Urophycis_chuss	0	13.75	0	1.16879202
Merluccius_bilinearis	2369	13.78787879	3.374748346	1.169905882
Clupea_harengus	0	14.08045977	0	1.178414582
Melanogrammus_aeglefinus	0	14.16184971	0	1.180752187
Melanogrammus_aeglefinus	0	14.58333333	0	1.19266036
Sebastes	0	14.58333333	0	1.19266036
Merluccius_bilinearis	0	14.74719101	0	1.197203095
Urophycis_tenuis	0	15	0	1.204119983
Clupea_harengus	0	15.26162791	0	1.21116402
Myoxocephalus_octodecemspinosus	6989	15.3125	3.844477176	1.212520525
Squalus_acanthias	445	15.55555556	2.649334859	1.218943759
Urophycis_tenuis	0	15.73033708	0	1.223504691
Leucoraja_erinacea	0	15.90909091	0	1.228120259
Melanogrammus_aeglefinus	0	16	0	1.230448921
Sebastes	0	16.1849711	0	1.235148806
Melanogrammus_aeglefinus	0	16.71348315	0	1.248303969
Glyptocephalus_cynoglossus	0	16.90340909	0	1.252935735
Leucoraja_erinacea	0	17	0	1.255272505
Urophycis_chuss	9803	17	3.991403303	1.255272505
Pollachius_virens	0	17.19653179	0	1.259988621
Pollachius_virens	0	18	0	1.278753601
Urophycis_chuss	0	18	0	1.278753601
Helicolenus_dactylopterus	0	18.10344828	0	1.281111767
Melanogrammus_aeglefinus	0	18.20809249	0	1.283484238
Merluccius_bilinearis	9485	18.47222222	3.97708312	1.289415517
Sebastes	43277	18.52941176	4.636267183	1.290689162
Sebastes	0	18.59375	0	1.292117563
Squalus_acanthias	0	19	0	1.301029996
Triglops_murrayi	0	19.33139535	0	1.308167185
Clupea_harengus	0	19.55882353	0	1.312998259
Sebastes	10864	19.66292135	4.036029731	1.315191723
Squalus_acanthias	5507	20.64606742	3.740993932	1.335379007
Merluccius_bilinearis	1752	21.62921348	3.243781916	1.35466946
Urophycis_chuss	0	22	0	1.361727836
Pollachius_virens	6753	22	3.829561056	1.361727836
Melanogrammus_aeglefinus	0	22.5	0	1.371067862
Tautogolabrus_adspersus	0	22.95081967	0	1.379320381
Merluccius_bilinearis	0	22.96875	0	1.379645386
Citharichthys_arctifrons	31793	22.96875	4.50234517	1.379645386
Myoxocephalus_octodecemspinosus	0	23.59550562	0	1.390855755
Clupea_harengus	0	24.27745665	0	1.402733374
Pollachius_virens	0	24.27745665	0	1.402733374
Merluccius_bilinearis	0	24.85795455	0	1.412594168
Clupea_harengus	608	25.85227273	2.784617293	1.42898105
Merluccius_bilinearis	53147	26.14942529	4.725486926	1.433760641
Merluccius_bilinearis	134850	27.22222222	5.129854171	1.450591207
Leucoraja_erinacea	18478	28	4.266678465	1.462397998
Clupea_harengus	0	30	0	1.491361694
Merluccius_bilinearis	19016	30.13888889	4.279142006	1.493303112
Melanogrammus_aeglefinus	0	31	0	1.505149978
Alosa_pseudoharengus	0	31.17816092	0	1.507561219
Pollachius_virens	3059	31.17816092	3.485721426	1.507561219
Leptoclinus_maculatus	0	31.81818182	0	1.516114517
