"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"NEMICHTHYS SCOLOPACEUS",604,"NEMICHTHYS SCOLOPACEUS","SNIPE EEL",67,126306,"scientific",161624,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Elopomorpha","Anguilliformes","Nemichthyidae",NA,"Nemichthys","Nemichthys scolopaceus","Nemichthys scolopaceus",TRUE
"AMMODYTES DUBIUS",610,"AMMODYTES DUBIUS","NORTHERN SAND LANCE",734,151520,"scientific",171674,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes","Ammodytes dubius","Ammodytes dubius",TRUE
"LYCODES LAVALAEI",620,"LYCODES LAVALAEI","LAVAL'S EELPOUT",NA,127107,"scientific",165276,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycodes","Lycodes lavalaei","Lycodes lavalaei",TRUE
"LUMPENUS LUMPRETAEFORMIS",622,"LUMPENUS LUMPRETAEFORMIS","SNAKE BLENNY",182,154675,"scientific",631023,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Lumpenus","Lumpenus lampretaeformis","Lumpenus lampretaeformis",TRUE
"LUMPENUS MACULATUS",623,"LUMPENUS MACULATUS","DAUBED SHANNY",183,127072,"common",171603,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Leptoclinus","Leptoclinus maculatus","Leptoclinus maculatus",TRUE
"ULVARIA SUBBIFURCATA",625,"ULVARIA SUBBIFURCATA","RADIATED SHANNY",184,159821,"scientific",171616,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Ulvaria","Ulvaria subbifurcata","Ulvaria subbifurcata",TRUE
"ZOARCES AMERICANUS",640,"ZOARCES AMERICANUS","OCEAN POUT",193,159267,"common",630979,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Zoarces","Zoarces americanus","Zoarces americanus",TRUE
"LYCODES VAHLII",647,"LYCODES VAHLII","SHORTTAILED EELPOUT(VAHL)",NA,127118,"scientific",165284,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycodes","Lycodes vahlii","Lycodes vahlii",TRUE
"PEPRILUS TRIACANTHUS",701,"PEPRILUS TRIACANTHUS","BUTTERFISH",131,159828,"common",172567,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stromateidae",NA,"Peprilus","Peprilus triacanthus","Peprilus triacanthus",TRUE
"NOTOLEPIS RISSOI",712,"NOTOLEPIS RISSOI","WHITE BARRACUDINA",247,147037,"scientific",644687,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Cyclosquamata","Aulopiformes","Paralepididae",NA,"Arctozenus","Arctozenus risso","Arctozenus risso",TRUE
