"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Tomopteris","Polychaeta","Tomopteridae","Tomopteris",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,NA,"Errantia",NA,NA,"Phyllodocida incertae sedis",NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Triglops murrayi","Actinopteri","Cottidae","Triglops","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Triglops murrayi","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Triticella pedicellata","Gymnolaemata","Triticellidae","Triticella",NA,NA,NA,NA,NA,"Animalia",NA,"Ctenostomatida",NA,NA,"Bryozoa",NA,"Triticella pedicellata",NA,NA,NA,"Stoloniferina",NA,NA,NA,NA,"Triticelloidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Tubularia indivisa","Hydrozoa","Tubulariidae","Tubularia",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Tubularia indivisa","Hydroidolina",NA,NA,"Aplanulata",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Tursiops truncatus","Mammalia","Delphinidae","Tursiops",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Tursiops truncatus","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Odontoceti",NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Urophycis chuss","Actinopteri","Phycidae","Urophycis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Urophycis chuss","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Urophycis tenuis","Actinopteri","Phycidae","Urophycis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Urophycis tenuis","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Yoldiella frigida","Bivalvia","Yoldiidae","Yoldiella",NA,NA,NA,NA,NA,"Animalia",NA,"Nuculanida",NA,NA,"Mollusca",NA,"Yoldiella frigida","Protobranchia",NA,NA,NA,NA,NA,NA,NA,"Nuculanoidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Ziminella salmonacea","Gastropoda","Paracoryphellidae","Ziminella",NA,"Euthyneura",NA,NA,NA,"Animalia",NA,"Nudibranchia",NA,NA,"Mollusca",NA,"Ziminella salmonacea","Heterobranchia",NA,NA,"Cladobranchia",NA,NA,"Ringipleura",NA,"Fionoidea","Nudipleura",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Zoarces americanus","Actinopteri","Zoarcidae","Zoarces","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Zoarces americanus","Teleostei","Zoarcinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
