"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Obelia","Hydrozoa","Campanulariidae","Obelia",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Oithona similis","Hexanauplia","Oithonidae","Oithona",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Cyclopoida",NA,NA,"Arthropoda",NA,"Oithona similis","Copepoda",NA,NA,"Oithonida","Crustacea",NA,NA,"Multicrustacea",NA,"Podoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Oncorhynchus mykiss","Actinopteri","Salmonidae","Oncorhynchus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Salmoniformes",NA,"Osteichthyes","Chordata",NA,"Oncorhynchus mykiss","Teleostei","Salmoninae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,TRUE
"Ophelina acuminata","Polychaeta","Opheliidae","Ophelina",NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Ophelina acuminata","Sedentaria","Ophelininae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Ophiopholis aculeata","Ophiuroidea","Ophiopholidae","Ophiopholis",NA,"Metophiurida",NA,NA,NA,"Animalia",NA,"Amphilepidida",NA,NA,"Echinodermata",NA,"Ophiopholis aculeata","Myophiuroida",NA,NA,"Gnathophiurina","Asterozoa",NA,NA,NA,"Ophiactoidea","Ophintegrida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Ophiura","Ophiuroidea","Ophiuridae","Ophiura",NA,"Metophiurida",NA,NA,NA,"Animalia",NA,"Ophiurida",NA,NA,"Echinodermata",NA,NA,"Myophiuroida","Ophiurinae",NA,"Ophiurina","Asterozoa",NA,NA,NA,NA,"Euryophiurida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Ophiuroidea","Ophiuroidea",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Oscarella balibaloi","Homoscleromorpha","Oscarellidae","Oscarella",NA,NA,NA,NA,NA,"Animalia",NA,"Homosclerophorida",NA,NA,"Porifera",NA,"Oscarella balibaloi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Oscarella viridis","Homoscleromorpha","Oscarellidae","Oscarella",NA,NA,NA,NA,NA,"Animalia",NA,"Homosclerophorida",NA,NA,"Porifera",NA,"Oscarella viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Owenia fusiformis","Polychaeta","Oweniidae","Owenia",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Owenia fusiformis","Polychaeta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Paracalanidae","Hexanauplia","Paracalanidae",NA,NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Paracalanus","Hexanauplia","Paracalanidae","Paracalanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Paraeuchaeta norvegica","Hexanauplia","Euchaetidae","Paraeuchaeta",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Paraeuchaeta norvegica","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Paramphinome jeffreysii","Polychaeta","Amphinomidae","Paramphinome",NA,NA,NA,NA,NA,"Animalia",NA,"Amphinomida",NA,NA,"Annelida",NA,"Paramphinome jeffreysii","Errantia","Amphinominae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Paranerilla limicola","Polychaeta","Nerillidae","Paranerilla",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Paranerilla limicola","Polychaeta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Parvicirrus dubius","Pilidiophora","Lineidae","Parvicirrus",NA,NA,NA,NA,NA,"Animalia",NA,"Heteronemertea",NA,NA,"Nemertea",NA,"Parvicirrus dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pectinaria granulata","Polychaeta","Pectinariidae","Pectinaria",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Pectinaria granulata","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pennatula aculeata","Anthozoa","Pennatulidae","Pennatula",NA,NA,NA,NA,NA,"Animalia",NA,"Pennatulacea",NA,NA,"Cnidaria",NA,"Pennatula aculeata","Octocorallia",NA,NA,"Subselliflorae",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Phacellophora camtschatica","Scyphozoa","Phacellophoridae","Phacellophora",NA,NA,NA,NA,NA,"Animalia",NA,"Semaeostomeae",NA,NA,"Cnidaria",NA,"Phacellophora camtschatica","Discomedusae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Phascolion strombus","Sipunculidea","Golfingiidae","Phascolion",NA,NA,NA,NA,NA,"Animalia",NA,"Golfingiida",NA,NA,"Sipuncula",NA,"Phascolion strombus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Pherusa affinis","Polychaeta","Flabelligeridae","Pherusa",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Pherusa affinis","Sedentaria",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Phocoena phocoena","Mammalia","Phocoenidae","Phocoena",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Phocoena phocoena","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Odontoceti",NA,NA,"worms",TRUE,FALSE,TRUE,FALSE
"Pholis gunnellus","Actinopteri","Pholidae","Pholis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Pholis gunnellus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Phycis chesteri","Actinopteri","Phycidae","Phycis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Phycis chesteri","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Phyllodoce groenlandica","Polychaeta","Phyllodocidae","Phyllodoce",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Phyllodoce groenlandica","Errantia","Phyllodocinae",NA,"Phyllodociformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pleuromamma borealis","Hexanauplia","Metridinidae","Pleuromamma",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Pleuromamma borealis","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pleuronectidae","Actinopteri","Pleuronectidae",NA,"Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Plexauridae","Anthozoa","Plexauridae",NA,NA,NA,NA,NA,NA,"Animalia",NA,"Alcyonacea",NA,NA,"Cnidaria",NA,NA,"Octocorallia",NA,NA,"Holaxonia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Plotocnide borealis","Hydrozoa","Boreohydridae","Plotocnide",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Plotocnide borealis","Hydroidolina",NA,NA,"Aplanulata",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pollachius virens","Actinopteri","Gadidae","Pollachius","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Pollachius virens","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Polygordius jouinae","Polychaeta","Polygordiidae","Polygordius",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Polygordius jouinae","Polychaeta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Polymastia bartletti","Demospongiae","Polymastiidae","Polymastia",NA,NA,NA,NA,NA,"Animalia",NA,"Polymastiida",NA,NA,"Porifera",NA,"Polymastia bartletti","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Priapulus caudatus",NA,"Priapulidae","Priapulus",NA,NA,NA,NA,NA,"Animalia",NA,"Priapulomorpha",NA,NA,"Priapulida",NA,"Priapulus caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,TRUE,FALSE,FALSE
"Prionace glauca","Elasmobranchii","Carcharhinidae","Prionace",NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Carcharhiniformes",NA,"Chondrichthyes","Chordata",NA,"Prionace glauca","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Galeomorphi",NA,"worms",FALSE,FALSE,TRUE,TRUE
"Proclea malmgreni","Polychaeta","Terebellidae","Proclea",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Proclea malmgreni","Sedentaria","Terebellinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,"Procleini","worms",TRUE,FALSE,FALSE,FALSE
"Protomyctophum arcticum","Actinopteri","Myctophidae","Protomyctophum","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Myctophiformes",NA,"Osteichthyes","Chordata",NA,"Protomyctophum arcticum","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Protosuberites","Demospongiae","Suberitidae","Protosuberites",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,NA,"Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Protosuberites denhartogi","Demospongiae","Suberitidae","Protosuberites",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,"Protosuberites denhartogi","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Protosuberites mereui","Demospongiae","Suberitidae","Protosuberites",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,"Protosuberites mereui","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Pseudocalanus mimus","Hexanauplia","Clausocalanidae","Pseudocalanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Pseudocalanus mimus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
